Face_ID,Width,Height,Predicted_Gender,Predicted_Age
1,51,57,Female,(25-32)
2,43,48,Male,(4-6)
3,34,40,Male,(25-32)
4,19,24,Female,(25-32)
5,32,49,Male,(25-32)
6,58,74,Male,(25-32)
7,35,36,Female,(25-32)
8,32,38,Female,(25-32)
9,14,18,Female,(25-32)
10,19,22,Male,(25-32)
11,20,23,Female,(25-32)
12,16,26,Female,(25-32)
13,24,25,Male,(25-32)
14,18,22,Female,(25-32)
15,14,18,Female,(25-32)
16,13,14,Female,(25-32)
17,15,18,Male,(0-2)
18,11,14,Female,(25-32)
19,10,11,Male,(25-32)
20,10,12,Male,(8-12)
21,12,17,Male,(0-2)
22,11,13,Male,(25-32)
23,29,42,Female,(25-32)
24,8,9,Female,(25-32)
25,16,23,Female,(25-32)
26,19,21,Female,(25-32)
27,12,17,Female,(25-32)
28,10,11,Female,(38-43)
29,34,41,Male,(38-43)
30,10,12,Male,(25-32)
31,9,11,Male,(25-32)
32,7,7,Male,(25-32)
33,11,13,Female,(4-6)
34,14,14,Male,(25-32)
35,14,18,Male,(8-12)
36,8,8,Female,(25-32)
37,6,7,Male,(4-6)
38,12,14,Male,(25-32)
39,18,37,Male,(25-32)
40,10,12,Female,(0-2)
41,6,7,Male,(25-32)
42,16,18,Male,(25-32)
43,7,8,Female,(25-32)
44,8,8,Female,(25-32)
45,8,10,Male,(4-6)
46,9,11,Female,(8-12)
47,7,7,Female,(25-32)
48,11,14,Male,(25-32)
49,8,9,Female,(25-32)
50,8,8,Female,(25-32)
51,6,6,Female,(8-12)
52,8,9,Female,(8-12)
53,6,6,Female,(25-32)
54,13,16,Male,(25-32)
55,10,10,Female,(25-32)
56,7,8,Female,(25-32)
57,35,38,Female,(4-6)
58,9,13,Male,(25-32)
59,12,16,Male,(25-32)
60,9,11,Female,(25-32)
61,8,9,Female,(25-32)
62,8,10,Male,(8-12)
63,6,7,Female,(4-6)
64,6,7,Female,(25-32)
65,6,7,Female,(25-32)
66,5,6,Male,(8-12)
67,8,9,Female,(25-32)
