Face_ID,Width,Height,Predicted_Gender,Predicted_Age
299,12,14,Female,(25-32)
300,6,10,Female,(25-32)
301,8,12,Female,(25-32)
302,6,7,Male,(25-32)
303,8,12,Male,(25-32)
304,11,15,Female,(25-32)
305,15,21,Female,(25-32)
306,15,18,Male,(25-32)
307,6,7,Female,(25-32)
308,7,9,Female,(4-6)
309,9,12,Male,(25-32)
310,11,16,Female,(25-32)
311,15,21,Female,(25-32)
312,8,12,Female,(25-32)
313,12,17,Female,(25-32)
314,8,12,Male,(25-32)
315,7,9,Male,(25-32)
316,9,12,Male,(25-32)
317,6,8,Male,(25-32)
318,6,8,Female,(25-32)
319,7,10,Male,(0-2)
320,8,12,Male,(25-32)
321,9,13,Female,(4-6)
322,8,11,Male,(0-2)
323,6,8,Male,(25-32)
324,8,11,Male,(25-32)
325,8,10,Male,(25-32)
326,6,8,Male,(38-43)
327,8,10,Female,(25-32)
328,7,9,Male,(25-32)
329,10,13,Male,(25-32)
330,10,16,Female,(4-6)
331,7,9,Female,(25-32)
332,8,10,Female,(25-32)
333,8,11,Female,(25-32)
334,6,7,Male,(25-32)
335,12,18,Female,(25-32)
336,6,8,Female,(25-32)
337,13,15,Female,(25-32)
338,15,21,Male,(25-32)
339,16,19,Male,(25-32)
340,8,11,Female,(25-32)
341,7,8,Female,(25-32)
342,6,7,Female,(25-32)
343,10,14,Female,(25-32)
344,9,14,Male,(25-32)
345,8,13,Male,(4-6)
346,10,16,Male,(25-32)
347,6,9,Male,(25-32)
348,6,9,Male,(4-6)
349,11,15,Female,(25-32)
350,7,9,Female,(25-32)
351,6,7,Male,(25-32)
352,13,19,Female,(25-32)
353,7,9,Female,(25-32)
354,8,11,Male,(25-32)
355,7,8,Male,(4-6)
356,14,17,Male,(38-43)
357,6,9,Male,(25-32)
358,7,8,Male,(25-32)
359,6,8,Male,(25-32)
360,7,8,Female,(25-32)
361,8,11,Male,(4-6)
362,7,10,Male,(25-32)
363,10,14,Male,(25-32)
364,7,9,Female,(38-43)
365,9,12,Female,(4-6)
366,7,9,Female,(8-12)
367,8,13,Male,(4-6)
368,8,10,Female,(25-32)
369,9,11,Female,(4-6)
370,7,9,Male,(25-32)
371,6,8,Male,(25-32)
372,8,10,Female,(8-12)
373,8,12,Female,(25-32)
374,10,13,Male,(25-32)
375,5,8,Male,(25-32)
376,7,8,Male,(25-32)
377,9,13,Female,(25-32)
378,6,7,Male,(25-32)
379,16,21,Female,(25-32)
380,7,9,Male,(4-6)
381,6,8,Male,(25-32)
382,8,13,Male,(25-32)
383,8,11,Female,(25-32)
384,7,8,Female,(25-32)
385,16,21,Male,(4-6)
386,7,9,Female,(25-32)
387,9,16,Male,(4-6)
388,7,8,Female,(8-12)
389,8,10,Female,(25-32)
390,14,20,Female,(0-2)
391,6,7,Male,(8-12)
392,7,10,Male,(4-6)
393,12,16,Male,(0-2)
394,15,22,Female,(25-32)
395,6,8,Female,(0-2)
396,7,10,Female,(4-6)
397,6,7,Male,(25-32)
398,12,16,Male,(8-12)
399,23,24,Male,(4-6)
400,6,8,Female,(25-32)
401,9,13,Female,(25-32)
402,9,13,Male,(25-32)
403,12,16,Male,(8-12)
404,7,9,Male,(4-6)
405,10,15,Male,(25-32)
406,7,10,Female,(25-32)
407,8,11,Male,(4-6)
408,9,13,Female,(4-6)
409,6,7,Male,(4-6)
410,9,11,Female,(25-32)
411,7,9,Male,(4-6)
412,6,7,Male,(25-32)
413,6,8,Male,(25-32)
414,15,23,Male,(4-6)
415,9,11,Male,(25-32)
416,7,9,Male,(8-12)
417,10,16,Male,(25-32)
418,6,9,Female,(25-32)
419,21,19,Female,(4-6)
420,8,11,Male,(25-32)
421,7,9,Female,(25-32)
422,6,7,Female,(25-32)
423,6,7,Male,(25-32)
424,6,9,Male,(4-6)
425,6,6,Female,(25-32)
426,8,10,Female,(25-32)
427,8,10,Female,(25-32)
428,6,8,Female,(4-6)
429,7,10,Male,(25-32)
430,8,12,Male,(4-6)
431,6,8,Female,(25-32)
432,16,23,Male,(25-32)
433,9,11,Male,(25-32)
434,6,9,Male,(38-43)
